Number of Incidents,Neighborhood
55,Squirrel Hill South
46,Crafton Heights
205,Central Business District
89,East Liberty
17,Banksville
63,Beechview
58,Bloomfield
44,Garfield
58,Bluff
69,Mount Washington
38,Central Oakland
136,South Side Flats
71,Brookline
84,Homewood North
60,East Hills
54,Lincoln-Lemington-Belmar
26,Elliott
55,Shadyside
54,Marshall-Shadeland
20,Homewood West
72,Brighton Heights
45,Allentown
28,Highland Park
68,Sheraden
32,Strip District
17,Beltzhoover
57,Homewood South
19,Lincoln Place
121,Carrick
30,Central Lawrenceville
41,South Side Slopes
35,North Oakland
23,North Shore
22,Westwood
56,Hazelwood
40,Larimer
39,Middle Hill
20,Point Breeze North
28,Central Northside
22,Overbrook
19,Manchester
9,Friendship
26,Allegheny Center
16,Spring Hill-City View
33,Chateau
18,Stanton Heights
33,Bedford Dwellings
18,Bon Air
64,Knoxville
12,Windgap
12,Duquesne Heights
59,East Allegheny
50,Perry South
20,Upper Hill
30,Arlington
16,California-Kirkbride
10,Polish Hill
14,South Shore
16,Upper Lawrenceville
30,Greenfield
6,Mt. Oliver
19,Lower Lawrenceville
31,Perry North
13,Terrace Village
16,Troy Hill
10,South Oakland
49,Crawford-Roberts
18,Northview Heights
2,Ridgemont
4,Hays
8,Arlington Heights
45,Squirrel Hill North
3,Esplen
9,Outside City
10,Outside State
15,Morningside
8,Fairywood
10,Oakwood
2,Regent Square
4,Glen Hazel
11,Fineview
10,West End
2,Chartiers City
7,Spring Garden
2,Summer Hill
6,Swisshelm Park
17,West Oakland
36,Point Breeze
6,Allegheny West
