Neighborhood,Population
Allegheny Center,933
Allegheny West,462
Allentown,"2,500"
Arlington,"1,869"
Arlington Heights,244
Banksville,"4,144"
Bedford Dwellings,"1,202"
Beechview,"7,974"
Beltzhoover,"1,925"
Bloomfield,"8,442"
Bluff,"6,600"
Bon Air,808
Brighton Heights,"7,247"
Brookline,"13,214"
California-Kirkbride,761
Carrick,"10,113"
Central Business District,"3,629"
Central Lawrenceville,"4,482"
Central Northside,"2,923"
Central Oakland,"6,086"
Chartiers City,477
Chateau,11
Crafton Heights,"3,814"
Crawford-Roberts,"2,256"
Duquesne Heights,"2,425"
East Allegheny,"2,136"
East Carnegie,570
East Hills,"3,169"
East Liberty,"5,869"
Elliott,"2,381"
Esplen,301
Fairywood,"1,002"
Fineview,"1,285"
Friendship,"1,785"
Garfield,"3,675"
Glen Hazel,716
Greenfield,"7,294"
Hays,362
Hazelwood,"4,317"
Highland Park,"6,395"
Homewood North,"3,280"
Homewood South,"2,344"
Homewood West,818
Knoxville,"3,747"
Larimer,"1,728"
Lincoln Place,"3,227"
Lincoln-Lemington-Belmar,"4,883"
Lower Lawrenceville,"2,341"
Manchester,"2,130"
Marshall-Shadeland,"6,043"
Middle Hill,"1,707"
Morningside,"3,346"
Mount Washington,"8,799"
Mt. Oliver,509
New Homestead,990
North Oakland,"10,551"
North Shore,303
Northview Heights,"1,214"
Oakwood,"1,027"
Overbrook,"3,644"
Perry North,"4,050"
Perry South,"4,145"
Point Breeze,"5,315"
Point Breeze North,"2,054"
Polish Hill,"1,274"
Regent Square,928
Ridgemont,483
Shadyside,"13,915"
Sheraden,"5,299"
South Oakland,"2,969"
South Shore,19
South Side Flats,"6,597"
South Side Slopes,"4,423"
Spring Garden,884
Spring Hill-City View,"2,648"
Squirrel Hill North,"11,363"
Squirrel Hill South,"15,110"
St. Clair,209
Stanton Heights,"4,601"
Strip District,616
Summer Hill,"1,051"
Swisshelm Park,"1,361"
Terrace Village,"3,228"
Troy Hill,"2,714"
Upper Hill,"2,057"
Upper Lawrenceville,"2,669"
West End,254
West Oakland,"2,604"
Westwood,"3,066"
Windgap,"1,369"
